variant	LocationID	LocationName	sample_id	sample_date	value
B.1.617.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994	CoV_21436_S105537	2021-12-13	0.99512
BA.1	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994		2021-12-13	0.0
BA.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994		2021-12-13	0.0
B.1.617.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994	CoV_21608_S105695	2021-12-28	0.9901
BA.1	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994		2021-12-28	0.0
BA.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994		2021-12-28	0.0
B.1.617.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994	CoV_23255_S107991	2022-01-25	0.098158859705687
BA.1	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994	CoV_23255_S107991	2022-01-25	0.90183151593313
BA.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994		2022-01-25	0.0
B.1.617.2	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528	CoV_21607_S105818	2021-12-28	0.862
BA.1	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528		2021-12-28	0.0
BA.2	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528		2021-12-28	0.0
B.1.617.2	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528		2022-01-25	0.0
BA.1	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528	CoV_23254_S108076	2022-01-25	0.97782
BA.2	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528		2022-01-25	0.0
B.1.617.2	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547	CoV_21433_S105476	2021-12-13	0.99215
BA.1	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547		2021-12-13	0.0
BA.2	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547		2021-12-13	0.0
B.1.617.2	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547	CoV_21605_S105767	2021-12-28	0.779827520883324
BA.1	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547	CoV_21605_S105767	2021-12-28	0.220163458242373
BA.2	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547		2021-12-28	0.0
B.1.617.2	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547		2022-01-25	0.0
BA.1	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547	CoV_23252_S108052	2022-01-25	0.97788
BA.2	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547		2022-01-25	0.0
B.1.617.2	ATTP_6-M4343579	ARA Köflach-Gradnerbachtal 16/1143	CoV_21432_S105461	2021-12-13	0.99191
BA.1	ATTP_6-M4343579	ARA Köflach-Gradnerbachtal 16/1143		2021-12-13	0.0
BA.2	ATTP_6-M4343579	ARA Köflach-Gradnerbachtal 16/1143		2021-12-13	0.0
B.1.617.2	ATTP_6-M4343579	ARA Köflach-Gradnerbachtal 16/1143	CoV_21604_S105779	2021-12-28	0.819
BA.1	ATTP_6-M4343579	ARA Köflach-Gradnerbachtal 16/1143	CoV_21604_S105779	2021-12-28	0.17316
BA.2	ATTP_6-M4343579	ARA Köflach-Gradnerbachtal 16/1143		2021-12-28	0.0
B.1.617.2	ATTP_6-M4343579	ARA Köflach-Gradnerbachtal 16/1143	CoV_23251_S108040	2022-01-25	0.0681000496745313
BA.1	ATTP_6-M4343579	ARA Köflach-Gradnerbachtal 16/1143	CoV_23251_S108040	2022-01-25	0.828798977030076
BA.2	ATTP_6-M4343579	ARA Köflach-Gradnerbachtal 16/1143	CoV_23251_S108040	2022-01-25	0.103091402094753
B.1.617.2	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669	CoV_21431_S105450	2021-12-13	0.98351
BA.1	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669		2021-12-13	0.0
BA.2	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669		2021-12-13	0.0
B.1.617.2	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669	CoV_21502_S105744	2021-12-20	0.805256465379232
BA.1	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669	CoV_21502_S105744	2021-12-20	0.194734386577992
BA.2	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669		2021-12-20	0.0
B.1.617.2	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669	CoV_21603_S105790	2021-12-28	0.565810451727192
BA.1	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669	CoV_21603_S105790	2021-12-28	0.434180224698149
BA.2	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669		2021-12-28	0.0
B.1.617.2	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669		2022-01-18	0.0
BA.1	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669	CoV_22744_S107114	2022-01-18	0.97224
BA.2	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669		2022-01-18	0.0
B.1.617.2	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669		2022-01-25	0.0
BA.1	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669	CoV_23250_S108028	2022-01-25	0.97923
