sampleDate	variant	LocationID_coronA	LocationName_coronA	sample_id	sample_date	value	week	year	kw
2020-12-20	B.1.221	ATTP_8-Dornbirn	Dornbirn	CoV_3052_S75372	2020-12-20	0.044221	51	2020	51/2020
2020-12-20	B.1.177	ATTP_8-Dornbirn	Dornbirn	CoV_3052_S75372	2020-12-20	0.50823	51	2020	51/2020
2020-12-20	B.1.258	ATTP_8-Dornbirn	Dornbirn	CoV_3052_S75372	2020-12-20	0.21096	51	2020	51/2020
2020-12-20	B.1.8	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_2224_S74687	2020-12-20	0.060356	51	2020	51/2020
2020-12-20	B.1.221	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_2233_S74679	2020-12-20	0.068189	51	2020	51/2020_2
2020-12-20	B.1.160	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_2233_S74679	2020-12-20	0.15679	51	2020	51/2020_2
2020-12-20	B.1.1.170	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_2233_S74679	2020-12-20	0.10673	51	2020	51/2020_2
2020-12-20	B.1.258	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_2233_S74679	2020-12-20	0.15101	51	2020	51/2020_2
2020-12-20	B.1.177	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_2224_S74687	2020-12-20	0.24561	51	2020	51/2020
2020-12-20	B.1.160	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_2224_S74687	2020-12-20	0.17849	51	2020	51/2020
2020-12-20	B.1.1.70	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_2224_S74687	2020-12-20	0.036108	51	2020	51/2020
2020-12-20	B.1.258	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_2224_S74687	2020-12-20	0.2261	51	2020	51/2020
2020-12-22	B.1.160	ATTP_4-40703001	Wolfgangsee-Ischl	CoV_3174_S75936	2020-12-22	0.874194912810259	52	2020	52/2020
2020-12-22	B.1.258	ATTP_4-40703001	Wolfgangsee-Ischl	CoV_3174_S75936	2020-12-22	0.125795474208371	52	2020	52/2020
2020-12-22	B.1.258	ATTP_4-41812001	Welser Heide	CoV_14755_S95617	2020-12-22	0.26515	52	2020	52/2020
2020-12-23	B.1.177	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_3062_S75342	2020-12-23	0.080826	52	2020	52/2020_1
2020-12-23	B.1.160	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_3062_S75342	2020-12-23	0.28796	52	2020	52/2020_1
2020-12-23	B.1.1.70	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_3062_S75342	2020-12-23	0.056215	52	2020	52/2020_1
2020-12-23	B.1.1.7	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_3062_S75342	2020-12-23	0.086682	52	2020	52/2020_1
2020-12-23	B.1.8	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_3062_S75342	2020-12-23	0.090908	52	2020	52/2020_1
2020-12-23	B.1.221	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_3062_S75342	2020-12-23	0.1638	52	2020	52/2020_1
2020-12-23	B.1.258	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_3062_S75342	2020-12-23	0.21752	52	2020	52/2020_1
2020-12-24	B.1.8	ATTP_2-K1939997	ARA Stadt Villach	CoV_3066_S75331	2020-12-24	0.077019	52	2020	52/2020
2020-12-24	B.1.160	ATTP_2-K1939997	ARA Stadt Villach	CoV_3066_S75331	2020-12-24	0.15161	52	2020	52/2020
2020-12-24	B.1.258	ATTP_2-K1939997	ARA Stadt Villach	CoV_3066_S75331	2020-12-24	0.45425	52	2020	52/2020
2020-12-24	B.1.258	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2227_S74685	2020-12-24	0.0367307017004367	52	2020	52/2020
2020-12-24	B.1.177	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2227_S74685	2020-12-24	0.158953430930052	52	2020	52/2020
2020-12-24	B.1.160	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2227_S74685	2020-12-24	0.768251770172226	52	2020	52/2020
2020-12-24	B.1.1.153	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2227_S74685	2020-12-24	0.0360541774874168	52	2020	52/2020
2020-12-24	B.1.177	ATTP_2-K1939997	ARA Stadt Villach	CoV_3066_S75331	2020-12-24	0.14722	52	2020	52/2020
2020-12-25	B.1.258	ATTP_7-7101301	Innsbruck	CoV_19961_S103423	2020-12-25	0.472192718955867	52	2020	52/2020
2020-12-25	B.1.160	ATTP_7-7101301	Innsbruck	CoV_19961_S103423	2020-12-25	0.527800764985306	52	2020	52/2020
2020-12-27	B.1.258	ATTP_5-A1844668R161	ARA Zeller Becken	CoV_2230_S74682	2020-12-27	0.0308804721717165	52	2020	52/2020
2020-12-27	B.1.160	ATTP_5-A1844668R161	ARA Zeller Becken	CoV_2230_S74682	2020-12-27	0.10694831689583	52	2020	52/2020
2020-12-27	B.1.177	ATTP_5-A1844668R161	ARA Zeller Becken	CoV_2230_S74682	2020-12-27	0.804551318901287	52	2020	52/2020
2020-12-27	B.1.221	ATTP_5-A1844668R161	ARA Zeller Becken	CoV_2230_S74682	2020-12-27	0.0576105294891984	52	2020	52/2020
2020-12-27	B.1.177	ATTP_2-K1931629	ARA Klagenfurt	CoV_3056_S75387	2020-12-27	0.048633	52	2020	52/2020
2020-12-27	B.1.177	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_2225_S74688	2020-12-27	0.29243	52	2020	52/2020
2020-12-27	B.1.258	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_2225_S74688	2020-12-27	0.2175	52	2020	52/2020
2020-12-27	B.1.1.7	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_2225_S74688	2020-12-27	0.11739	52	2020	52/2020
2020-12-27	B.1.160	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_2225_S74688	2020-12-27	0.18308	52	2020	52/2020
2020-12-27	B.1.258	ATTP_2-K1931629	ARA Klagenfurt	CoV_3056_S75387	2020-12-27	0.61163	52	2020	52/2020
2020-12-27	B.1.160	ATTP_2-K1931629	ARA Klagenfurt	CoV_3056_S75387	2020-12-27	0.089164	52	2020	52/2020
2020-12-28	B.1.258	ATTP_7-7930111	EMREG_BE_Hauptsitz AIZ Strass	CoV_19659_S103396	2020-12-28	0.505399099563851	53	2020	53/2020
2020-12-28	B.1.160	ATTP_7-7930111	EMREG_BE_Hauptsitz AIZ Strass	CoV_19659_S103396	2020-12-28	0.494595038221639	53	2020	53/2020
2020-12-28	B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3274_S76375	2020-12-28	0.260869874057921	53	2020	53/2020
2020-12-28	B.1.160	ATTP_5-A1836862R161	ARA Saalachtal-Saalfelden	CoV_3065_S75335	2020-12-28	0.76842	53	2020	53/2020
